CoreID,Species,Depth_centre_slice,Dry_bulk_density,Organic_carbon
651,Cymodocea rotundata,1,1.4,0.41
651,Cymodocea rotundata,3,1.39,0.37
651,Cymodocea rotundata,5,1.36,0.25
651,Cymodocea rotundata,8,1.35,0.3
651,Cymodocea rotundata,12.5,1.39,0.09
651,Cymodocea rotundata,17.5,1.38,0.14
655,Cymodocea rotundata,1,1.41,0.31
655,Cymodocea rotundata,3,1.42,0.21
655,Cymodocea rotundata,5,1.39,0.18
655,Cymodocea rotundata,8,1.34,0.32
655,Cymodocea rotundata,12.5,1.36,0.34
655,Cymodocea rotundata,17.5,1.41,0.49
CKCr2,Cymodocea rotundata,2.5,0.54,1.03
CKCr2,Cymodocea rotundata,7.5,0.67,0.98
CKCr2,Cymodocea rotundata,12.5,0.7,1.3
CKCr2,Cymodocea rotundata,17.5,0.91,0.85
CKCr2,Cymodocea rotundata,22.5,0.9,1.08
CKCr2,Cymodocea rotundata,27.5,1.01,0.77
CKCr2,Cymodocea rotundata,32.5,1.12,0.96
CKCr2,Cymodocea rotundata,37.5,1.06,0.79
CKCr2,Cymodocea rotundata,42.5,1.18,1.07
CKCr2,Cymodocea rotundata,47.5,1.08,1.87
CKCr1,Cymodocea rotundata,2.5,0.76,1.39
CKCr1,Cymodocea rotundata,7.5,1.15,0.96
CKCr1,Cymodocea rotundata,12.5,1.25,1.64
CKCr1,Cymodocea rotundata,17.5,1.01,1.22
CKCr1,Cymodocea rotundata,22.5,1.03,1.36
CKCr1,Cymodocea rotundata,27.5,0.82,0.87
CKCr1,Cymodocea rotundata,32.5,1.06,0.93
CKCr1,Cymodocea rotundata,37.5,1,1.21
CKCr1,Cymodocea rotundata,42.5,1.16,1.03
CKCr1,Cymodocea rotundata,47.5,1.47,0.87
CKCr5,Cymodocea rotundata,2.5,0.81,1.23
CKCr5,Cymodocea rotundata,7.5,0.8,1.06
CKCr5,Cymodocea rotundata,12.5,0.93,0.8
CKCr5,Cymodocea rotundata,17.5,1.03,0.48
CKCr5,Cymodocea rotundata,22.5,1.17,0.85
CKCr5,Cymodocea rotundata,27.5,1.16,0.72
CKCr5,Cymodocea rotundata,32.5,1.13,1.02
CKCr5,Cymodocea rotundata,37.5,1.39,0.83
CKCr5,Cymodocea rotundata,42.5,1.26,0.9
CKCr5,Cymodocea rotundata,47.5,1.03,0.74
UUCR1,Cymodocea rotundata,2.5,0.67,0.78
UUCR1,Cymodocea rotundata,7.5,0.7,0.58
UUCR1,Cymodocea rotundata,12.5,0.85,0.54
UUCR1,Cymodocea rotundata,17.5,0.83,0.65
UUCr3,Cymodocea rotundata,2.5,0.57,0.78
UUCr3,Cymodocea rotundata,7.5,0.75,0.69
UUCr3,Cymodocea rotundata,12.5,0.77,0.56
UUCr3,Cymodocea rotundata,17.5,0.89,0.6
UUCr3,Cymodocea rotundata,22.5,0.88,0.53
UUCr3,Cymodocea rotundata,27.5,0.88,0.41
UUCr3,Cymodocea rotundata,32.5,1.05,0.64
UUCr3,Cymodocea rotundata,37.5,0.79,1.34
UUCr3,Cymodocea rotundata,42.5,0.84,0.84
UUCr3,Cymodocea rotundata,47.5,0.8,1.14
Cr1,Cymodocea rotundata,1,1.81,0.34
Cr1,Cymodocea rotundata,3,1.68,0.32
Cr1,Cymodocea rotundata,5,1.7,0.34
Cr1,Cymodocea rotundata,7,1.64,0.37
Cr1,Cymodocea rotundata,9,1.73,0.26
Cr1,Cymodocea rotundata,11,1.65,0.31
Cr1,Cymodocea rotundata,13,1.74,0.24
Cr1,Cymodocea rotundata,15,1.65,0.23
Cr1,Cymodocea rotundata,17,1.8,0.2
Cr1,Cymodocea rotundata,19,1.7,0.18
Cr2,Cymodocea rotundata,1,1.67,0.44
Cr2,Cymodocea rotundata,3,1.77,0.48
Cr2,Cymodocea rotundata,5,1.65,0.61
Cr2,Cymodocea rotundata,7,1.67,0.61
Cr2,Cymodocea rotundata,9,1.62,0.42
Cr2,Cymodocea rotundata,11,1.64,0.34
Cr2,Cymodocea rotundata,13,1.71,0.47
Cr2,Cymodocea rotundata,15,1.69,0.41
Cr2,Cymodocea rotundata,17,1.72,0.36
Cr3,Cymodocea rotundata,1,1.54,0.36
Cr3,Cymodocea rotundata,3,1.69,0.42
Cr3,Cymodocea rotundata,5,1.67,0.46
Cr3,Cymodocea rotundata,7,1.7,0.28
Cr3,Cymodocea rotundata,9,1.79,0.32
Cr3,Cymodocea rotundata,11,1.67,0.37
Cr3,Cymodocea rotundata,13,1.74,0.26
Cr3,Cymodocea rotundata,15,1.72,0.25
Cr3,Cymodocea rotundata,17,1.62,0.2
Cr3,Cymodocea rotundata,19,1.66,0.12
Cr2M,Cymodocea rotundata,1,1.22,0.25
Cr2M,Cymodocea rotundata,3,1.3,0.31
Cr2M,Cymodocea rotundata,5,1.27,0.24
Cr2M,Cymodocea rotundata,7,1.2,0.16
Cr2M,Cymodocea rotundata,9,1.13,0.07
Cr2M,Cymodocea rotundata,11,1.21,0.05
Cr2M,Cymodocea rotundata,13,1.23,0.07
Cr2M,Cymodocea rotundata,15,1.26,0.08
Cr2M,Cymodocea rotundata,17,1.16,0.01
Cr2M,Cymodocea rotundata,19,1.07,0.1
Cr3M,Cymodocea rotundata,1,1.33,0.2
Cr3M,Cymodocea rotundata,3,1.32,0.19
Cr3M,Cymodocea rotundata,5,1.24,0.32
Cr3M,Cymodocea rotundata,7,1.26,0.25
Cr3M,Cymodocea rotundata,9,1.35,0.18
Cr3M,Cymodocea rotundata,11,1.37,0.02
Cr3M,Cymodocea rotundata,13,1.24,0.03
Cr3M,Cymodocea rotundata,15,1.32,0.11
Cr3M,Cymodocea rotundata,17,1.33,0
Cr3M,Cymodocea rotundata,19,1.27,0.01
646,Cymodocea serrulata,1,1.32,1.2
646,Cymodocea serrulata,3,1.26,0.79
646,Cymodocea serrulata,5,1.23,0.63
646,Cymodocea serrulata,8,1.19,0.85
646,Cymodocea serrulata,12.5,1.31,0.77
