Latitude,Longitude,Meadow_type,FIN_TYP,nearestDist (m),ALT_CODE,ECOREGION,ECO_CODE,ECO_CODE_X,Lat_Zone,PROVINCE,PROV_CODE,REALM,RLM_CODE,ARCTICCODE,AREA,BASINAREA,BASINID,BASINLENGT,BASINORDER,COLOR,CONTINENT_,C_BASIN_,C_BASIN_ID,DATA_VOL,DBITEMS,ESRI,HYDRO,MERGED_BAS,OCEANCODE,OCEANNAME,OCEAN_CODE,PERIMETER,RECORDNAME,SEABASINCO,SEABASINNA,SEACODE,SEANAME,SUBCONTINE,SUBCONTINE1,SYMBOLFLD,UP6
-25.6914481,113.5986449,monospecific,7,40287.14736,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.75,8352.9,1323,150.2,1,9,3,6553,6552,4,Record:1323,Australasia,Australasia,0,64,Indian Ocean,3,4,GHAASBasin1323,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-26.05468333,113.3972,monospecific,7,50394.73901,193,Shark Bay,20210,210,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.25,8256.9,1333,173.5,1,8,3,6575,6574,4,Record:1333,Australasia,Australasia,0,64,Indian Ocean,3,2,GHAASBasin1333,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
-30.31041493,115.0081087,monospecific,1,0,192,Houtman,20211,211,Temperate,West Central Australian Shelf,58,Temperate Australasia,11,0,0.25,2670.4,3641,48,1,8,3,6629,6628,0,Record:3641,Australasia,Australasia,0,64,Indian Ocean,3,2,GHAASBasin3641,1413,West Australian Coast,64,Indian Ocean,Australia,3,Network Symbol,Australasia
24.3652,124.2502,monospecific,1,228301.2916,119,South Kuroshio,20121,121,Tropical,South Kuroshio,28,Central Indo-Pacific,6,0,0.25,2818.5,3471,75.3,1,8,2,4630,4629,0,Record:3471,Asia,Asia,0,96,Pacific Ocean,6,2,GHAASBasin3471,1319,Philippines Sea,96,Pacific Ocean,Asia,2,Network Symbol,Asia
24.4883,124.2277,monospecific,1,225799.3076,119,South Kuroshio,20121,121,Tropical,South Kuroshio,28,Central Indo-Pacific,6,0,0.25,2807.3,3477,75.2,1,7,2,4611,4610,0,Record:3477,Asia,Asia,0,96,Pacific Ocean,6,2,GHAASBasin3477,1319,Philippines Sea,96,Pacific Ocean,Asia,2,Network Symbol,Asia
24.4884,124.2279,monospecific,1,225819.4615,119,South Kuroshio,20121,121,Tropical,South Kuroshio,28,Central Indo-Pacific,6,0,0.25,2807.3,3477,75.2,1,7,2,4611,4610,0,Record:3477,Asia,Asia,0,96,Pacific Ocean,6,2,GHAASBasin3477,1319,Philippines Sea,96,Pacific Ocean,Asia,2,Network Symbol,Asia
9.2296,98.3262,monospecific,1,19098.48249,106,Andaman Sea Coral Coast,20110,110,Tropical,Andaman,24,Western Indo-Pacific,5,0,1.5,18323.2,698,211.8,2,7,2,5336,5335,0,Record:698,Asia,Asia,0,96,Pacific Ocean,6,6,GHAASBasin698,1325,West SouthChina Sea,96,Pacific Ocean,Asia,2,Network Symbol,Asia
24.48862,124.2286,monospecific,1,225889.5728,119,South Kuroshio,20121,121,Tropical,South Kuroshio,28,Central Indo-Pacific,6,0,0.25,2807.3,3477,75.2,1,7,2,4611,4610,0,Record:3477,Asia,Asia,0,96,Pacific Ocean,6,2,GHAASBasin3477,1319,Philippines Sea,96,Pacific Ocean,Asia,2,Network Symbol,Asia
16.36214,119.96336,monospecific,1,57334.08472,121,Eastern Philippines,20127,127,Tropical,Western Coral Triangle,30,Central Indo-Pacific,6,0,0.5,8925.4,1254,132.7,2,9,2,5003,5002,0,Record:1254,Indonesia,Indonesia,0,96,Pacific Ocean,6,3,GHAASBasin1254,1324,East SouthChina Sea,96,Pacific Ocean,Indonesia,6,Network Symbol,Asia
22.60027778,39.34027778,monospecific,7,0,97,Northern and Central Red Sea,20087,87,Tropical,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5,0,0.5,5701.6,1868,102.5,1,7,2,4685,4684,4,Record:1868,Asia,Asia,0,64,Indian Ocean,3,3,GHAASBasin1868,1340,East Red Sea,66,Red Sea,Asia,2,Network Symbol,Asia
22.59611111,39.35638889,monospecific,7,0,97,Northern and Central Red Sea,20087,87,Tropical,Red Sea and Gulf of Aden,18,Western Indo-Pacific,5,0,0.5,5701.6,1868,102.5,1,7,2,4685,4684,4,Record:1868,Asia,Asia,0,64,Indian Ocean,3,3,GHAASBasin1868,1340,East Red Sea,66,Red Sea,Asia,2,Network Symbol,Asia
-20.325117,-40.271533,monospecific,2,0,59,Eastern Brazil,20076,76,Tropical,Tropical Southwestern Atlantic,14,Tropical Atlantic,4,0,0.5,5800.4,1834,104.3,1,7,7,6416,6415,0,Record:1834,South America,South America,0,4,Atlantic Ocean,2,3,GHAASBasin1834,1106,Santos Plateau,32,Atlantic Ocean,South America,11,Network Symbol,South America
