Site,CoreID,Species,Meadow_type,Location,Station,Latitude,Longitude,Country,Stock_0_20cm,Stock_0_50cm,Stock_20_50cm,Stock_20_50cm_estimate,d13C_surface,d13C_0_20cm,SD_d13C_0_20cm,N_d13C_0_20cm,d13C_0_50cm,SD_d13C_0_50cm,N_d13C_0_50cm,d13C_20_50cm,SD_d13C_20_50cm,N_d13C_20_50cm,d13C_leaf,SD_d13C_leaf,N_d13C_leaf,surface_soil_leaf_difference_d13C,z0_20_soil_leaf_difference_d13C,z20_50_soil_leaf_difference_d13C,Source
,,Zostera marina,monospecific,Clayoquot Sound,Robert Point,49.1307,-125.55836,USA,8.2,,,,,,,,,,,,,,,,,,,,"Postlethwaite et al., 2018 Low blue carbon storage in eel grass (Zostera marina) meadows on the Pacific coast of Canada . Plos one June."
,,Zostera marina,monospecific,Clayoquot Sound,Robert Point,49.13064,-125.55835,USA,9.6,,,,,,,,,,,,,,,,,,,,"Postlethwaite et al., 2018 Low blue carbon storage in eel grass (Zostera marina) meadows on the Pacific coast of Canada . Plos one June."
,,Zostera marina,monospecific,Clayoquot Sound,Kennedy Cove,49.0834,-125.49481,USA,21.1,,,,,,,,,,,,,,,,,,,,"Postlethwaite et al., 2018 Low blue carbon storage in eel grass (Zostera marina) meadows on the Pacific coast of Canada . Plos one June."
,,Zostera marina,monospecific,Clayoquot Sound,Grice bay,49.06747,-125.46528,USA,10.7,,,,,,,,,,,,,,,,,,,,"Postlethwaite et al., 2018 Low blue carbon storage in eel grass (Zostera marina) meadows on the Pacific coast of Canada . Plos one June."
,,Zostera marina,monospecific,Clayoquot Sound,Grice bay,49.08368,-125.43713,USA,16.9,,,,,,,,,,,,,,,,,,,,"Postlethwaite et al., 2018 Low blue carbon storage in eel grass (Zostera marina) meadows on the Pacific coast of Canada . Plos one June."
,,Zostera marina,monospecific,Clayoquot Sound,Kennedy Cove,49.08297,-125.40472,USA,12.8,,,,,,,,,,,,,,,,,,,,"Postlethwaite et al., 2018 Low blue carbon storage in eel grass (Zostera marina) meadows on the Pacific coast of Canada . Plos one June."
1,269,Zostera marina,monospecific,"Padilla Bay, Oregon",,48.51479,-122.52914,USA,15,44,29.4,29,,,,,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
10,81,"Halodule wrightii, Ruppia maritima",multispecific,"Celestun Lagoon, Yucatan",,20.9254,-90.3446,Mexico,28.7,,,,-20.8,-19.1,1.98,10,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
1,5,Thalassia testudinum,monospecific,Florida Bay,NM0208132,24.9412,-80.8642,USA,41.5,99.9,58.3,58.4,,,,,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
1,6,Thalassia testudinum,monospecific,Florida Bay,NM0208134,24.9412,-80.8642,USA,46.1,106.9,60.8,60.8,,,,,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
1,1,Thalassia testudinum,monospecific,Florida Bay,BA0206122,25.02476744,-80.68097374,USA,39.5,90.9,51.3,51.4,,,,,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
1,2,Thalassia testudinum,monospecific,Florida Bay,BA0206124,25.02476744,-80.68097374,USA,30.8,75.3,44.5,44.5,,,,,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
1,3,Thalassia testudinum,monospecific,Florida Bay,RB0206125,25.0343,-80.6397,USA,26.6,69.6,45.7,43,,,,,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
1,4,Thalassia testudinum,monospecific,Florida Bay,RB0206127,25.0343,-80.6397,USA,33.6,82.4,48.8,48.8,,,,,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
1,7,Thalassia testudinum,monospecific,Florida Bay,TC0206129,25.2148,-80.5404,USA,20.2,66.2,46,46,,,,,,,,,,,,,,,,,"Fourqurean, J. W., Duarte, C. M., Kennedy, H., Marbà, N., Holmer, M., Mateo, M. A., Apostolaki, E.T., Kendrick, G.A., Krause-Jensen, D., McGlathery, K.J. and  Serrano, O. Seagrass ecosystems as a globally significant carbon stock. Nature Geosci., 5 (7), 505-509, 2012."
